"Sample","Reactions in minimal metagenome","% Coverage minimal metagenome"
"eA4_53","2545","49.08"
"eA4_54","3509","67.68"
"eA4_55","2345","45.23"
"eA4_56","2865","55.26"
"eA4_57","3199","61.7"
"eA4_58","2932","56.55"
"eA4_59","3534","68.16"
"eA4_6","3432","66.19"
"eA4_60","2833","54.64"
"eA4_61","2808","54.16"
"eA4_62","2732","52.69"
"eA4_63","3324","64.11"
"eA4_64","2539","48.97"
"eA4_65","2559","49.35"
"eA4_66","2309","44.53"
"eA4_67","2393","46.15"
"eA4_68","2888","55.7"
"eA4_69","3177","61.27"
"eA4_7","3221","62.12"
"eA4_70","2359","45.5"
"eA4_71","2933","56.57"
"eA4_72","2799","53.98"
"eA4_73","2826","54.5"
"eA4_74","2571","49.59"
"eA4_75","3163","61"
"eA4_76","2412","46.52"
"eA4_77","3280","63.26"
"eA4_78","2203","42.49"
"eA4_79","2993","57.72"
"eA4_8","3479","67.1"
"eA4_80","3065","59.11"
"eA4_81","3185","61.43"
"eA4_82","3306","63.76"
"eA4_83","2945","56.8"
"eA4_84","2739","52.83"
"eA4_85","3181","61.35"
"eA4_86","2845","54.87"
"eA4_87","2946","56.82"
"eA4_88","2659","51.28"
"eA4_89","2725","52.56"
"eA4_9","2603","50.2"
"eA4_90","2992","57.7"
"eA4_91","3451","66.56"
"eA4_92","3087","59.54"
"eA4_93","3033","58.5"
"eA4_94","3302","63.68"
"eA4_95","2971","57.3"
"eA4_96","2946","56.82"
"eA4_97","2726","52.57"
"eA4_98","2734","52.73"
"eA4_99","3261","62.89"
"eA5_1","3736","72.05"
"eA5_10","2759","53.21"
"eA5_100","2725","52.56"
"eA5_11","3351","64.63"
"eA5_12","3051","58.84"
"eA5_13","3082","59.44"
"eA5_14","3141","60.58"
"eA5_15","2557","49.32"
"eA5_16","2319","44.73"
"eA5_17","2552","49.22"
"eA5_18","2894","55.81"
"eA5_19","2660","51.3"
"eA5_2","2725","52.56"
"eA5_20","2792","53.85"
"eA5_21","2917","56.26"
"eA5_22","2442","47.1"
"eA5_23","3284","63.34"
"eA5_24","2903","55.99"
"eA5_25","3356","64.73"
"eA5_26","2865","55.26"
"eA5_27","3132","60.41"
"eA5_28","2525","48.7"
"eA5_29","3033","58.5"
"eA5_3","2731","52.67"
"eA5_30","2778","53.58"
"eA5_31","3208","61.87"
"eA5_32","3175","61.23"
"eA5_33","2647","51.05"
"eA5_34","2776","53.54"
"eA5_35","2949","56.88"
"eA5_36","2871","55.37"
"eA5_37","2918","56.28"
"eA5_38","2533","48.85"
"eA5_39","3327","64.17"
"eA5_4","2477","47.77"
"eA5_40","2982","57.51"
"eA5_41","2869","55.33"
"eA5_42","2617","50.47"
"eA5_43","3459","66.71"
"eA5_44","2832","54.62"
"eA5_45","3062","59.05"
"eA5_46","2220","42.82"
"eA5_47","2831","54.6"
"eA5_48","3167","61.08"
"eA5_49","2785","53.71"
"eA5_5","3021","58.26"
"eA5_50","3536","68.2"
"eA5_51","3035","58.53"
"eA5_52","2801","54.02"
"eA5_53","3046","58.75"
"eA5_54","3091","59.61"
"eA5_55","2858","55.12"
"eA5_56","3258","62.84"
"eA5_57","2839","54.75"
"eA5_58","3353","64.67"
"eA5_59","3096","59.71"
"eA5_6","2540","48.99"
"eA5_60","3124","60.25"
"eA5_61","3276","63.18"
"eA5_62","2974","57.36"
"eA5_63","2882","55.58"
"eA5_64","2631","50.74"
"eA5_65","2450","47.25"
"eA5_66","3612","69.66"
"eA5_67","3111","60"
"eA5_68","2854","55.04"
"eA5_69","2568","49.53"
"eA5_7","3401","65.59"
"eA5_70","2300","44.36"
"eA5_71","2614","50.41"
"eA5_72","3367","64.94"
"eA5_73","2890","55.74"
"eA5_74","3213","61.97"
"eA5_75","2560","49.37"
"eA5_76","3558","68.62"
"eA5_77","2934","56.59"
"eA5_78","3071","59.23"
"eA5_79","2815","54.29"
"eA5_8","2684","51.76"
"eA5_80","3001","57.88"
"eA5_81","2636","50.84"
"eA5_82","2448","47.21"
"eA5_83","2804","54.08"
"eA5_84","3020","58.24"
"eA5_85","2793","53.87"
"eA5_86","3158","60.91"
"eA5_87","2747","52.98"
"eA5_88","2958","57.05"
"eA5_89","2811","54.21"
"eA5_9","3313","63.9"
"eA5_90","2934","56.59"
"eA5_91","2349","45.3"
"eA5_92","3211","61.93"
"eA5_93","2631","50.74"
"eA5_94","3168","61.1"
"eA5_95","2584","49.84"
"eA5_96","3144","60.64"
"eA5_97","2921","56.34"
"eA5_98","3184","61.41"
"eA5_99","2681","51.71"
"eA6_1","2919","56.3"
"eA6_10","2948","56.86"
"eA6_100","2669","51.48"
"eA6_11","3065","59.11"
"eA6_12","3052","58.86"
"eA6_13","3396","65.5"
"eA6_14","2960","57.09"
"eA6_15","2941","56.72"
"eA6_16","2856","55.08"
"eA6_17","2921","56.34"
"eA6_18","3064","59.09"
"eA6_19","2769","53.4"
"eA6_2","2622","50.57"
"eA6_20","3139","60.54"
"eA6_21","3159","60.93"
"eA6_22","2895","55.83"
"eA6_23","3543","68.33"
"eA6_24","3540","68.27"
"eA6_25","2839","54.75"
"eA6_26","2552","49.22"
"eA6_27","3634","70.09"
"eA6_28","2563","49.43"
"eA6_29","3204","61.79"
"eA6_3","2810","54.19"
"eA6_30","2768","53.38"
"eA6_31","3004","57.94"
"eA6_32","3111","60"
"eA6_33","3170","61.14"
"eA6_34","2596","50.07"
"eA6_35","3276","63.18"
"eA6_36","3073","59.27"
"eA6_37","3377","65.13"
"eA6_38","3109","59.96"
"eA6_39","3274","63.14"
"eA6_4","2982","57.51"
"eA6_40","2961","57.11"
"eA6_41","3273","63.12"
"eA6_42","2981","57.49"
"eA6_43","3270","63.07"
"eA6_44","2641","50.94"
"eA6_45","3002","57.9"
"eA6_46","2783","53.67"
"eA6_47","3230","62.3"
"eA6_48","2941","56.72"
"eA6_49","2992","57.7"
"eA6_5","2713","52.32"
"eA6_50","3214","61.99"
"eA6_51","3409","65.75"
"eA6_52","2553","49.24"
"eA6_53","3238","62.45"
"eA6_54","2938","56.66"
"eA6_55","3418","65.92"
"eA6_56","2563","49.43"
"eA6_57","3151","60.77"
"eA6_58","3173","61.2"
"eA6_59","2898","55.89"
"eA6_6","3426","66.08"
"eA6_60","3120","60.17"
"eA6_61","2497","48.16"
"eA6_62","2963","57.15"
"eA6_63","2871","55.37"
"eA6_64","2826","54.5"
"eA6_65","3243","62.55"
"eA6_66","3137","60.5"
"eA6_67","3405","65.67"
"eA6_68","3125","60.27"
"eA6_69","2943","56.76"
"eA6_7","2960","57.09"
"eA6_70","2962","57.13"
"eA6_71","2423","46.73"
"eA6_72","3644","70.28"
"eA6_73","2987","57.61"
"eA6_74","2591","49.97"
"eA6_75","2999","57.84"
"eA6_76","2907","56.07"
"eA6_77","2946","56.82"
"eA6_78","3033","58.5"
"eA6_79","3518","67.85"
"eA6_8","3247","62.62"
"eA6_80","2917","56.26"
"eA6_81","3430","66.15"
"eA6_82","3315","63.93"
"eA6_83","3286","63.38"
"eA6_84","3245","62.58"
"eA6_85","2700","52.07"
"eA6_86","2962","57.13"
"eA6_87","2647","51.05"
"eA6_88","3146","60.68"
"eA6_89","3241","62.51"
"eA6_9","2870","55.35"
"eA6_90","3220","62.1"
"eA6_91","2504","48.29"
"eA6_92","2557","49.32"
"eA6_93","3696","71.28"
"eA6_94","2839","54.75"
"eA6_95","3222","62.14"
"eA6_96","3336","64.34"
"eA6_97","2941","56.72"
"eA6_98","3099","59.77"
"eA6_99","2934","56.59"
"eA7_1","3150","60.75"
"eA7_10","3539","68.25"
"eA7_100","3112","60.02"
"eA7_11","3170","61.14"
"eA7_12","2915","56.22"
"eA7_13","2378","45.86"
"eA7_14","3209","61.89"
"eA7_15","3641","70.22"
"eA7_16","3431","66.17"
"eA7_17","2765","53.33"
"eA7_18","2800","54"
"eA7_19","2572","49.6"
"eA7_2","3404","65.65"
"eA7_20","2596","50.07"
"eA7_21","3939","75.97"
"eA7_22","3488","67.27"
"eA7_23","3132","60.41"
"eA7_24","3116","60.1"
"eA7_25","3412","65.81"
"eA7_26","2958","57.05"
"eA7_27","3466","66.85"
"eA7_28","3196","61.64"
"eA7_29","3319","64.01"
"eA7_3","3194","61.6"
"eA7_30","2674","51.57"
"eA7_31","2861","55.18"
"eA7_32","3163","61"
"eA7_33","2905","56.03"
"eA7_34","2769","53.4"
"eA7_35","3379","65.17"
"eA7_36","2830","54.58"
"eA7_37","2472","47.68"
"eA7_38","2901","55.95"
"eA7_39","3412","65.81"
"eA7_4","2671","51.51"
"eA7_40","2677","51.63"
"eA7_41","3098","59.75"
"eA7_42","3208","61.87"
"eA7_43","2635","50.82"
"eA7_44","3206","61.83"
"eA7_45","3162","60.98"
"eA7_46","3823","73.73"
"eA7_47","3258","62.84"
"eA7_48","3041","58.65"
"eA7_49","3029","58.42"
"eA7_5","3126","60.29"
"eA7_50","2889","55.72"
"eA7_51","3417","65.9"
"eA7_52","2452","47.29"
"eA7_53","2859","55.14"
"eA7_54","3474","67"
"eA7_55","2947","56.84"
"eA7_56","3077","59.34"
"eA7_57","2583","49.82"
"eA7_58","3125","60.27"
"eA7_59","2509","48.39"
"eA7_6","2766","53.35"
"eA7_60","3182","61.37"
"eA7_61","3305","63.74"
"eA7_62","2535","48.89"
"eA7_63","3179","61.31"
"eA7_64","3070","59.21"
"eA7_65","3268","63.03"
"eA7_66","2917","56.26"
"eA7_67","3240","62.49"
"eA7_68","2870","55.35"
"eA7_69","2750","53.04"
"eA7_7","2751","53.06"
"eA7_70","3284","63.34"
"eA7_71","3038","58.59"
"eA7_72","3452","66.58"
"eA7_73","2888","55.7"
"eA7_74","3349","64.59"
"eA7_75","3211","61.93"
"eA7_76","3210","61.91"
"eA7_77","2943","56.76"
"eA7_78","3517","67.83"
"eA7_79","3098","59.75"
"eA7_8","3053","58.88"
"eA7_80","2929","56.49"
"eA7_81","2860","55.16"
"eA7_82","3415","65.86"
"eA7_83","3075","59.31"
"eA7_84","2822","54.43"
"eA7_85","2501","48.24"
"eA7_86","3401","65.59"
"eA7_87","2498","48.18"
"eA7_88","2571","49.59"
"eA7_89","2947","56.84"
"eA7_9","2858","55.12"
"eA7_90","3095","59.69"
"eA7_91","2724","52.54"
"eA7_92","2921","56.34"
"eA7_93","3293","63.51"
"eA7_94","3157","60.89"
"eA7_95","2946","56.82"
"eA7_96","3096","59.71"
"eA7_97","2869","55.33"
"eA7_98","2886","55.66"
"eA7_99","2635","50.82"
"eB1_1","3496","67.43"
"eB1_10","3031","58.46"
"eB1_100","3409","65.75"
"eB1_1000","3143","60.62"
"eB1_1001","3016","58.17"
"eB1_1002","3068","59.17"
"eB1_1003","3649","70.38"
"eB1_1004","2907","56.07"
"eB1_1005","2985","57.57"
"eB1_1006","3338","64.38"
"eB1_1007","2672","51.53"
"eB1_1008","2845","54.87"
"eB1_1009","2657","51.24"
"eB1_101","3367","64.94"
"eB1_1010","2623","50.59"
"eB1_1011","3703","71.42"
"eB1_1012","3569","68.83"
"eB1_1013","2867","55.29"
"eB1_1014","2716","52.38"
"eB1_1015","3331","64.24"
"eB1_1016","2597","50.09"
"eB1_1017","3726","71.86"
"eB1_1018","3521","67.91"
"eB1_1019","3172","61.18"
"eB1_102","3002","57.9"
"eB1_1020","3414","65.84"
"eB1_1021","2496","48.14"
"eB1_1022","3749","72.3"
"eB1_1023","3072","59.25"
"eB1_1024","2412","46.52"
"eB1_1025","3231","62.31"
"eB1_1026","3194","61.6"
"eB1_1027","2851","54.99"
"eB1_1028","2921","56.34"
"eB1_1029","3026","58.36"
"eB1_103","3447","66.48"
"eB1_1030","2834","54.66"
"eB1_1031","3134","60.44"
"eB1_1032","3628","69.97"
"eB1_1033","3088","59.56"
"eB1_1034","2910","56.12"
"eB1_1035","3564","68.74"
"eB1_1036","3164","61.02"
"eB1_1037","3234","62.37"
"eB1_1038","3310","63.84"
"eB1_1039","3147","60.69"
"eB1_104","3082","59.44"
"eB1_1040","3179","61.31"
"eB1_1041","2809","54.18"
"eB1_1042","3039","58.61"
"eB1_1043","3406","65.69"
"eB1_1044","3761","72.54"
"eB1_1045","3059","59"
"eB1_1046","3387","65.32"
"eB1_1047","3296","63.57"
"eB1_1048","3324","64.11"
"eB1_1049","3813","73.54"
"eB1_105","3748","72.29"
"eB1_1050","2927","56.45"
"eB1_1051","2894","55.81"
"eB1_1052","3248","62.64"
"eB1_1053","2937","56.64"
"eB1_1054","3162","60.98"
"eB1_1055","3190","61.52"
"eB1_1056","2284","44.05"
"eB1_1057","3269","63.05"
"eB1_1058","3263","62.93"
"eB1_1059","3511","67.71"
"eB1_106","3684","71.05"
"eB1_1060","3228","62.26"
"eB1_1061","2878","55.51"
"eB1_1062","2885","55.64"
"eB1_1063","3047","58.77"
"eB1_1064","3401","65.59"
"eB1_1065","3061","59.04"
"eB1_1066","3344","64.49"
"eB1_1067","3129","60.35"
"eB1_1068","3076","59.32"
"eB1_1069","3030","58.44"
"eB1_107","2951","56.91"
"eB1_1070","3164","61.02"
"eB1_1071","3146","60.68"
"eB1_1072","3198","61.68"
"eB1_1073","2679","51.67"
"eB1_1074","2847","54.91"
"eB1_1075","3361","64.82"
"eB1_1076","3053","58.88"
"eB1_1077","3173","61.2"
"eB1_1078","3368","64.96"
"eB1_1079","2382","45.94"
"eB1_108","2661","51.32"
"eB1_1080","3837","74"
"eB1_1081","3138","60.52"
"eB1_1082","3475","67.02"
"eB1_1083","3271","63.09"
"eB1_1084","2631","50.74"
"eB1_1085","3213","61.97"
"eB1_1086","3156","60.87"
"eB1_1087","3483","67.17"
"eB1_1088","2817","54.33"
"eB1_1089","3557","68.6"
"eB1_109","3811","73.5"
"eB1_1090","3039","58.61"
"eB1_1091","3074","59.29"
"eB1_1092","3037","58.57"
"eB1_1093","2795","53.91"
"eB1_1094","3501","67.52"
"eB1_1095","3156","60.87"
"eB1_1096","2774","53.5"
"eB1_1097","3410","65.77"
"eB1_1098","3133","60.42"
"eB1_1099","3596","69.35"
"eB1_11","3236","62.41"
"eB1_110","3688","71.13"
"eB1_1100","3639","70.18"
"eB1_1101","3318","63.99"
"eB1_1102","3185","61.43"
"eB1_1103","3213","61.97"
"eB1_1104","3122","60.21"
"eB1_1105","2421","46.69"
"eB1_1106","2741","52.86"
"eB1_1107","3057","58.96"
"eB1_1108","3098","59.75"
"eB1_1109","3577","68.99"
"eB1_111","3052","58.86"
"eB1_1110","3064","59.09"
"eB1_1111","2845","54.87"
"eB1_1112","2809","54.18"
"eB1_1113","2791","53.83"
"eB1_1114","3074","59.29"
"eB1_1115","2335","45.03"
"eB1_1116","3589","69.22"
"eB1_1117","3193","61.58"
"eB1_1118","3423","66.02"
"eB1_1119","3015","58.15"
"eB1_112","3065","59.11"
"eB1_1120","2578","49.72"
"eB1_1121","3216","62.03"
"eB1_1122","3520","67.89"
"eB1_1123","3089","59.58"
"eB1_1124","2261","43.61"
"eB1_1125","3903","75.27"
"eB1_1126","2843","54.83"
"eB1_1127","2651","51.13"
"eB1_1128","2971","57.3"
"eB1_1129","2874","55.43"
"eB1_113","3639","70.18"
"eB1_1130","3564","68.74"
"eB1_1131","2714","52.34"
"eB1_1132","2933","56.57"
"eB1_1133","3378","65.15"
"eB1_1134","2527","48.74"
"eB1_1135","3394","65.46"
"eB1_1136","2499","48.2"
"eB1_1137","3457","66.67"
"eB1_1138","2783","53.67"
"eB1_1139","2785","53.71"
"eB1_114","3044","58.71"
"eB1_1140","3094","59.67"
"eB1_1141","3219","62.08"
"eB1_1142","2881","55.56"
"eB1_1143","3098","59.75"
"eB1_1144","2422","46.71"
"eB1_1145","3041","58.65"
"eB1_1146","3107","59.92"
"eB1_1147","3084","59.48"
"eB1_1148","2717","52.4"
"eB1_1149","2701","52.09"
"eB1_115","3358","64.76"
"eB1_1150","2458","47.41"
"eB1_1151","2538","48.95"
"eB1_1152","3229","62.28"
"eB1_1153","2764","53.31"
"eB1_1154","3121","60.19"
"eB1_1155","2819","54.37"
"eB1_1156","3321","64.05"
"eB1_1157","3022","58.28"
"eB1_1158","3426","66.08"
"eB1_1159","2339","45.11"
"eB1_116","3284","63.34"
"eB1_1160","2962","57.13"
"eB1_1161","3023","58.3"
"eB1_1162","2703","52.13"
"eB1_1163","3253","62.74"
"eB1_1164","3622","69.86"
"eB1_1165","3175","61.23"
"eB1_1166","3434","66.23"
"eB1_1167","3109","59.96"
"eB1_1168","2593","50.01"
"eB1_1169","2837","54.72"
"eB1_117","3803","73.35"
"eB1_1170","2903","55.99"
"eB1_1171","2982","57.51"
"eB1_1172","2808","54.16"
"eB1_1173","3038","58.59"
"eB1_1174","3725","71.84"
"eB1_1175","3466","66.85"
"eB1_1176","2767","53.37"
"eB1_1177","3162","60.98"
"eB1_1178","3172","61.18"
"eB1_1179","3001","57.88"
"eB1_118","3555","68.56"
"eB1_1180","3388","65.34"
"eB1_1181","3062","59.05"
"eB1_1182","2478","47.79"
"eB1_1183","2815","54.29"
"eB1_1184","3851","74.27"
"eB1_1185","3225","62.2"
"eB1_1186","2994","57.74"
"eB1_1187","2704","52.15"
"eB1_1188","3461","66.75"
"eB1_1189","3043","58.69"
"eB1_119","3217","62.04"
"eB1_1190","2983","57.53"
"eB1_1191","2313","44.61"
"eB1_1192","2531","48.81"
"eB1_1193","3450","66.54"
"eB1_1194","3252","62.72"
"eB1_1195","3387","65.32"
"eB1_1196","3900","75.22"
"eB1_1197","3056","58.94"
"eB1_1198","3332","64.26"
"eB1_1199","3116","60.1"
"eB1_12","3939","75.97"
"eB1_120","2829","54.56"
"eB1_1200","2676","51.61"
"eB1_1201","3002","57.9"
"eB1_1202","3272","63.11"
"eB1_1203","3570","68.85"
"eB1_1204","2826","54.5"
"eB1_1205","3184","61.41"
"eB1_1206","2723","52.52"
"eB1_1207","2942","56.74"
"eB1_1208","2834","54.66"
"eB1_1209","3383","65.25"
"eB1_121","2955","56.99"
"eB1_1210","2898","55.89"
"eB1_1211","2576","49.68"
"eB1_1212","2840","54.77"
"eB1_1213","2593","50.01"
"eB1_1214","2571","49.59"
"eB1_1215","3377","65.13"
"eB1_1216","3511","67.71"
"eB1_1217","3247","62.62"
"eB1_1218","3042","58.67"
"eB1_1219","2745","52.94"
"eB1_122","3381","65.21"
"eB1_1220","3757","72.46"
"eB1_1221","3318","63.99"
"eB1_1222","3444","66.42"
"eB1_1223","2842","54.81"
"eB1_1224","2832","54.62"
"eB1_1225","2561","49.39"
"eB1_1226","3091","59.61"
"eB1_1227","3489","67.29"
"eB1_1228","2976","57.4"
"eB1_1229","3318","63.99"
"eB1_123","3487","67.25"
"eB1_1230","3702","71.4"
"eB1_1231","3150","60.75"
"eB1_1232","3011","58.07"
"eB1_1233","2813","54.25"
"eB1_1234","3619","69.8"
"eB1_1235","3281","63.28"
"eB1_1236","2990","57.67"
"eB1_1237","2831","54.6"
"eB1_1238","3125","60.27"
"eB1_1239","2765","53.33"
"eB1_124","3028","58.4"
"eB1_1240","3095","59.69"
"eB1_1241","3050","58.82"
"eB1_1242","2884","55.62"
"eB1_1243","3366","64.92"
"eB1_1244","3423","66.02"
"eB1_1245","2918","56.28"
"eB1_1246","2820","54.39"
"eB1_1247","2900","55.93"
"eB1_1248","3149","60.73"
"eB1_1249","3235","62.39"
"eB1_125","3381","65.21"
"eB1_1250","3311","63.86"
"eB1_1251","3483","67.17"
"eB1_1252","3698","71.32"
"eB1_1253","3085","59.5"
"eB1_1254","3151","60.77"
"eB1_1255","2670","51.49"
"eB1_1256","2971","57.3"
"eB1_1257","3466","66.85"
"eB1_1258","3593","69.3"
"eB1_1259","2696","52"
"eB1_126","2903","55.99"
"eB1_1260","3463","66.79"
"eB1_1261","3340","64.42"
"eB1_1262","2860","55.16"
"eB1_1263","3500","67.5"
"eB1_1264","2761","53.25"
"eB1_1265","3108","59.94"
"eB1_1266","2595","50.05"
"eB1_1267","2624","50.61"
"eB1_1268","3503","67.56"
"eB1_1269","2715","52.36"
"eB1_127","2833","54.64"
"eB1_1270","3210","61.91"
"eB1_1271","3202","61.76"
"eB1_1272","3015","58.15"
"eB1_1273","3098","59.75"
"eB1_1274","3315","63.93"
"eB1_1275","3629","69.99"
"eB1_1276","2905","56.03"
